name,price,rating,discount
"Russell Hobbs Premium Twin Pack 1.7 L Kettle + 2-Slice Toaster,","30,000",0,0%
10L Gold Plated Kettle,"8,500",2,0%
7 Litres Quality Stainless Steel Whistling Kettle,"15,000",5,0%
Quality 5.5L Electric Kettle Kinelco,"14,900",0,0%
Blender + Electric Cooker + Electric Kettle + Toaster,"25,999",4.4,0%
Trendy Whistling Kettle," - 11,900",4.5,0%
Kinelco 5.5 Litres Electric Kettle,"11,899",5,0%
Century CK-8119D 4.3-Litre Kettle - Silver/Black,"12,500",4.1,0%
Kinelco Whistling Kettle 5.8L - Red,"12,800",0,22%
700ML Collapsible Silicone Kettle Portable Travel,"14,420",0,60%
Eurosonic 2.5liters Cordless Color & Stainless Body Electric Kettle,"12,800",3,0%
Kinelco 5.5 Litres Electric Kettle,"12,000",4,0%
Electric Cooking Hot Pot,"8,999",0,22%
Cordless Electric Kettle - 2.2L - Silver,"5,500",3,27%
Aluminium Kettle,"4,900",3.5,39%
Century 4.3L Automatic Electric/Anti Rust Kettle,"20,000",4.7,0%
Classic Cordless Electric JUG -2.2 Liters,"5,999",4.3,0%
Century 5.2L Automatic Electric/Anti Rust Kettle,"13,999",5,30%
Qasa Electric Jug - 1.7 Liters,"9,800",0,18%
"4 - Litre Whistling Kettle,.","4,899",0,0%
Stainless Steel Whistling Kettle - 4.5 Litre,"7,999",0,0%
Kinelco 5.5 Litres Electric Kettle,"11,800",0,0%
"Breville HotCup Hot Water Dispenser, Fast Boil, 1.5 Litre,...","16,700",0,0%
Scanfrost Water Kettle SFKAK 1801,"11,418",0,0%
1200ML 12V Car D Travel Electric Heated Boiled Water Kettle,"20,249",0,50%
"Electric Kettle Glass 1.7 Liter 2200W, Black/Clear","18,000",0,10%
Master Chef 20L Electric Kettle,"34,500",0,31%
5.5 Litres Electric Kettle,"11,600",0,0%
Master Chef Electric Kettle 5.2 Litres,"11,999",5,20%
?Spin Bio Disc 2 Energizes Water Quantum Scalar Harmonize,"23,085",0,30%
WHISTLING STOVE KETTLE. 5 Liters.,"7,800",0,28%
Binatone WATER KETTLE,"25,000",0,0%
Multiply Function Pot,"18,000",0,0%
"Russell Hobbs Quiet Boil Electric Kettle, Stainless Steel,3000watt 1.7 Lit","18,500",0,0%
Kinelco 5.5 Litres Electric Kettle,"12,500",4,0%
3 Litres Whistling Gas & Stove Kettle,"4,599",4,0%
Pyramid Electric Kettle – 2.2L,"12,000",5,0%
Super Bundle Blender + Toaster + Hot Plate Bundle,"18,000",0,14%
Qasa Stainless Electric Jug With Pure Copper Coil,"6,000",0,0%
